word	length	syllables	senses	synonyms	hyponyms	hypernyms	subtitles	simple	subtlex
a	1	1	7	12	2	7	-26.4	-22.2	-24.4
aa	2	3	3	3	0	3	-16.1	-16.9	-17.9
aaliyah	7	3	0	0	0	0	-20	-19.6	-24.4
aaron	5	2	2	3	0	0	-15.9	-15.5	-14.8
abandon	7	3	7	9	9	5	-15.7	-17.2	-15.7
abandoned	9	3	7	9	9	3	-15.1	-14.9	-15
abbey	5	2	3	0	0	3	-17.9	-13.9	-17
abbott	6	2	0	0	0	0	-17.9	-16.9	-15.7
abbreviations	13	5	2	1	1	2	-21.7	-17.4	-21
abdominal	9	4	2	2	2	1	-18.7	-18	-16.9
abdul	5	2	0	0	0	0	-17.6	-16.8	-24.4
aberdeen	8	3	4	1	0	0	-19.9	-15.2	-20.3
abide	5	2	2	13	9	2	-18	-18.5	-17.3
abilities	9	4	2	2	26	2	-16.9	-15.1	-16.1
ability	7	4	2	1	26	2	-15.2	-13.2	-14.4
able	4	2	4	2	0	0	-11.7	-11.5	-11.4
abnormal	8	3	3	1	0	0	-17.6	-17.7	-17.2
abnormalities	13	5	4	5	56	4	-20.6	-20.6	-19.7
aboard	6	2	4	3	0	0	-14.8	-16.4	-14
aboriginal	10	5	5	13	5	3	-20.5	-14.5	-21.2
abortion	8	3	2	1	2	2	-16.3	-14.6	-15.8
about	5	2	8	16	0	0	-26.4	-22.2	-24.4
above	5	2	4	4	0	1	-26.4	-22.2	-24.4
abraham	7	3	1	2	0	0	-17	-14.8	-16.3
abroad	6	2	4	2	0	0	-15.6	-15.1	-16.4
absence	7	2	4	1	8	4	-16.2	-15.4	-16
absent	6	2	4	7	0	1	-17.2	-16.1	-17.3
absolute	8	3	6	7	0	1	-15.2	-14.9	-15.2
absolutely	10	4	2	3	0	0	-12	-16.9	-11.9
absorb	6	2	9	18	11	7	-17.8	-16.1	-17.7
absorbed	8	2	11	24	11	7	-18.1	-15.4	-18.1
absorption	10	3	6	7	12	6	-20.6	-17.4	-20.2
abstract	8	2	9	18	7	6	-18.2	-14.9	-17.6
abstraction	11	3	6	5	13	6	-22.1	-16.4	-20.5
abstracts	9	2	6	16	7	6	-22.6	-20.6	-21.6
absurd	6	2	3	9	0	1	-15.4	-17.7	-15.4
abundance	9	3	3	2	6	2	-19	-17.3	-18.9
abundant	8	3	1	0	0	0	-19.4	-16.2	-19.5
abuse	5	2	7	17	15	6	-15.7	-15	-15.3
abused	6	2	6	14	6	3	-17.1	-16.6	-16.5
abuses	6	3	7	18	15	6	-19	-18	-19.7
abusive	7	3	2	2	0	0	-18	-18.5	-18
acad	4	3	0	0	0	0	-24.8	-22.2	-24.4
academic	8	4	4	4	1	1	-17	-14.6	-16.5
academics	9	4	1	3	1	1	-19.8	-17.3	-19.2
academies	9	4	4	2	12	4	-22.3	-17.8	-21.6
academy	7	4	4	1	12	4	-15.1	-12.6	-15.1
acc	3	3	1	2	0	1	-21.7	-21.2	-21.4
accelerate	10	4	2	3	1	2	-18.6	-17.9	-18.3
accelerated	11	5	3	4	1	2	-18.9	-17.5	-18.8
acceleration	12	5	3	2	4	3	-19	-16.2	-18.9
accelerator	11	5	4	9	9	4	-17.9	-18.1	-18.3
accent	6	2	7	10	19	7	-14.2	-16	-15.1
accents	7	2	7	11	19	7	-18.6	-16.5	-18.5
accept	6	2	11	11	23	8	-12.9	-14.2	-13
acceptable	10	4	4	1	0	0	-16.7	-16.1	-16.3
acceptance	10	3	7	7	11	7	-17.4	-16.1	-17
accepted	8	3	12	14	23	8	-14.7	-13.2	-14.7
